maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
12	10	1970	2300	65535	120		H. Maagd Maria van Loreto	H. Maria van Loreto		w	581	902		[]
12	11	1970	2300	65535	120		H. Damasus I, paus	H. Damasus I		w	522	907		[]
12	12	1970	2300	65535	120		H. Maagd Maria van Guadalupe	H. Maria van Guadalupe		w	558	902		[]
12	12	1970	2300	65535	80	f	Breda: Verjaardag van de wijding van de bisschopskerk	Breda: Verjaardag wijding bisschopskerk		w	528	901		[]
12	13	1970	2300	65535	100	g	H. Lucia, maagd en martelares	H. Lucia		r	524	906 913		[]
12	14	1970	2300	65535	100	g	H. Johannes van het Kruis, priester en kerkleraar	H. Johannes van het Kruis		w	525	909 910		[]
12	21	1970	2300	65535	120		Buiten Nederland: H. Petrus Canisius, priester en kerkleraar	Buiten Nederland: H. Petrus Canisius		w	529	910		[]
12	23	1970	2300	65535	120		H. Johannes van Kenty, priester	H. Johannes van Kenty		w	530	923		[]
12	29	1970	2300	65535	120		H. Thomas Becket, bisschop en martelaar	H. Thomas Becket		r	534	905		[]
12	31	1970	2300	65535	120		H. Silvester I, paus	H. Silvester I		w	535	907		[]
X	12	1970	2300	65535	120		Haarlem: Mirakel van het H. Sacrament te Amsterdam	Haarlem: Mirakel v/h H. Sacrament te Amsterdam		w	536			[]
X	14	1970	2300	65535	110	g	Haarlem: Onze Lieve Vrouw ter Nood	Haarlem: O.L. Vrouw ter Nood		w	538	902		[]
														[]
														[]
D	0				60		1e zondag door het jaar		d	g			600	[]
D	1				130		Maandag in de 1e week door het jaar		d	g			601	"{""ui"":{""an"":""792""},""lz"":{""ps"":""792-794"",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":""794-798"",""ps"":""795-797"",""np"":""797-798""},""mi"":{""a"":""798-802"",""ps"":""799-801"",""np"":""801-802""},""av"":{""a"":""802-806"",""ps"":""802-805"",""np"":""805-806""},""ds"":{""a"":""onbekend""}}"
D	2				130		Dinsdag in de 1e week door het jaar		d	g			602	"{""ui"":{""an"":""806""},""lz"":{""ps"":""806-809"",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":""809-814"",""ps"":""809-813"",""np"":""813-814""},""mi"":{""a"":""814-817"",""ps"":""814-816"",""np"":""816-817""},""av"":{""a"":""817-821"",""ps"":""817-820"",""np"":""820-821""},""ds"":{""a"":""onbekend""}}"
D	3				130		Woensdag in de 1e week door het jaar		d	g			603	"{""ui"":{""an"":""821""},""lz"":{""ps"":""821-824"",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":""824-828"",""ps"":""824-827"",""np"":""827-828""},""mi"":{""a"":""828-831"",""ps"":""828-830"",""np"":""830-831""},""av"":{""a"":""831-835"",""ps"":""831-834"",""np"":""834-835""},""ds"":{""a"":""onbekend""}}"
D	4				130		Donderdag in de 1e week door het jaar		d	g			604	"{""ui"":{""an"":""""},""lz"":{""ps"":"""",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":"""",""ps"":"""",""np"":""""},""mi"":{""a"":"""",""ps"":"""",""np"":""""},""av"":{""a"":"""",""ps"":"""",""np"":""""},""ds"":{""a"":""onbekend""}}"
D	5				130		Vrijdag in de 1e week door het jaar		d	g			605	"{""ui"":{""an"":""""},""lz"":{""ps"":"""",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":"""",""ps"":"""",""np"":""""},""mi"":{""a"":"""",""ps"":"""",""np"":""""},""av"":{""a"":"""",""ps"":"""",""np"":""""},""ds"":{""a"":""onbekend""}}"
D	6				130		Zaterdag in de 1e week door het jaar		d	g			606	"{""ui"":{""an"":""""},""lz"":{""ps"":"""",""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""Afsluitend gebed""},""mo"":{""a"":"""",""ps"":"""",""np"":""""},""mi"":{""a"":"""",""ps"":"""",""np"":""""},""av"":{""a"":"""",""ps"":"""",""np"":""""},""ds"":{""a"":""onbekend""}}"
D	6				120		Maria op zaterdag	Maria op zaterdag		w	599			[]
D	7				60		2e zondag door het jaar		d	g			607	"{""va"":{""a"":null,""b"":{""hy"":""onbekend"",""ag"":""588""}},""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""588""}},""mi"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""588""}},""av"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""588""}},""ds"":{""a"":""onbekend""}}"
D	8				130		Maandag in de 2e week door het jaar		d	g			608	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
